사건번호,사유
2006두1074,검색 정확일치 없음
2006두11644,검색 정확일치 없음
2006두11644340,검색 정확일치 없음
2006두13220,검색 정확일치 없음
2006두15172,검색 정확일치 없음
2006두1715,검색 정확일치 없음
2006두18812,검색 정확일치 없음
2006두2701,검색 정확일치 없음
2006두4233,검색 정확일치 없음
2006두4912902,검색 정확일치 없음
2006두5335,검색 정확일치 없음
2006두6956,검색 정확일치 없음
2006두6956137,검색 정확일치 없음
2006두9269,검색 정확일치 없음
2006두9873,검색 정확일치 없음
2007가합10338,검색 정확일치 없음
2007가합86803,검색 정확일치 없음
2007구합13968,검색 정확일치 없음
2007구합14619,검색 정확일치 없음
2007구합15810,검색 정확일치 없음
2007구합16042,검색 정확일치 없음
2007구합290,검색 정확일치 없음
2007구합29352,검색 정확일치 없음
2007구합34125,검색 정확일치 없음
2007구합8935,검색 정확일치 없음
2007나9102,검색 정확일치 없음
2007나9102126,검색 정확일치 없음
2007노209,검색 정확일치 없음
2007누12738,검색 정확일치 없음
2007누1273851,검색 정확일치 없음
2007누13571,검색 정확일치 없음
2007누29224,검색 정확일치 없음
2007누30057,검색 정확일치 없음
2007누34226,검색 정확일치 없음
2007누3451,검색 정확일치 없음
2007누9084,검색 정확일치 없음
2007다63012,검색 정확일치 없음
2007다72519191,검색 정확일치 없음
2007다73277275,검색 정확일치 없음
2007다90692,검색 정확일치 없음
2007도1539220,검색 정확일치 없음
2007도3081,검색 정확일치 없음
2007도319277,검색 정확일치 없음
2007도319278,검색 정확일치 없음
2007도482764,검색 정확일치 없음
2007도97,검색 정확일치 없음
2007두10440330,검색 정확일치 없음
2007두11153,검색 정확일치 없음
2007두12101,검색 정확일치 없음
2007두12859735,검색 정확일치 없음
2007두14411,검색 정확일치 없음
2007두1479426,검색 정확일치 없음
2007두15612,검색 정확일치 없음
2007두1840616,검색 정확일치 없음
2007두18406342,검색 정확일치 없음
2007두18437,검색 정확일치 없음
2007두1897,검색 정확일치 없음
2007두21518,검색 정확일치 없음
2007두2234,검색 정확일치 없음
2007두22344,검색 정확일치 없음
2007두2623022,검색 정확일치 없음
2007두3077,검색 정확일치 없음
2007두34,검색 정확일치 없음
2007두3695896,검색 정확일치 없음
2007두4995517,검색 정확일치 없음
2007두8881520,검색 정확일치 없음
2007두947137,검색 정확일치 없음
2007두955621,검색 정확일치 없음
2007두9587,검색 정확일치 없음
2007헌마135924,검색 정확일치 없음
2008가단167281,검색 정확일치 없음
2008구합11549,검색 정확일치 없음
2008구합11556,검색 정확일치 없음
2008구합12382,검색 정확일치 없음
2008구합15701,검색 정확일치 없음
2008구합19611,검색 정확일치 없음
2008구합22396,검색 정확일치 없음
2008구합24712,검색 정확일치 없음
2008구합32218,검색 정확일치 없음
2008구합46477,검색 정확일치 없음
2008구합48718,검색 정확일치 없음
2008나6243,검색 정확일치 없음
2008누16430,검색 정확일치 없음
2008누22787,검색 정확일치 없음
2008다13104910,검색 정확일치 없음
