사건번호,법원,날짜,인용횟수
93다3363,대법원,1993.9.28.,1
2002다19292,대법원,2002.7.26.,1
2002도649,대법원,2002.11.26.,1
84누711,대법원,1985.3.26.,1
96다2507,대법원,1997.5.16.,1
2012다118655,대법원,2015.6.24.,1
2007헌바27,헌법재판소,2009.2.26.,1
2015두39897,대법원,2019.4.25.,1
2010두3237,대법원,2011.12.22.,1
2016두55919,대법원,2017.4.27.,1
97다49732,대법원,1998.3.27.,1
2015두54759,대법원,2016.11.24.,1
83다카1243,대법원,1983.11.22.,1
2012두20991,대법원,2014.7.10.,1
2008도7018,대법원,2008.11.27.,1
2018다209706,대법원,2019.1.31.,1
2006다48069,대법원,2006.11.23.,1
93다57551,대법원,1994.5.27.,1
87다카1886,대법원,1988.4.12.,1
2021두47387,대법원,2021.11.25.,1
2012두9758,대법원,2016.3.10.,1
2009다102452,대법원,2011.10.13.,1
2005헌마855,헌법재판소,2006.11.30.,1
92다16973,대법원,1992.8.14.,1
2013다85523,대법원,2018.6.19.,1
93다1589,대법원,1994.3.8.,1
2012다17806,대법원,2016.1.26.,1
89다카22487,대법원,1990.2.23.,1
94다19242,대법원,1994.12.27.,1
2008두11693,대법원,2011.7.28.,1
2013다2672,대법원,2014.11.27.,1
91다34523,대법원,1992.5.12.,1
88다카10128,대법원,1989.12.26.,1
2016두56134,대법원,2017.4.28.,1
84다카374,대법원,1984.6.12.,1
2003두12844,대법원,2004.3.26.,1
97다11133,대법원,1997.11.28.,1
95누2487,대법원,1996.5.31.,1
2015다254873,대법원,2019.12.24.,1
92다44695,대법원,1994.1.11.,1
2004다37676,대법원,2005.11.10.,1
2020다273939,대법원,2021.11.11.,1
90다16245,대법원,1991.4.9.,1
2012다119092,대법원,2013.12.26.,1
2024다210783,대법원,2024.6.13.,1
2014다44673,대법원,2018.6.19.,1
2019다14110,대법원,2020.8.20.,1
91다13731,대법원,1991.7.23.,1
2013도8417,대법원,2015.11.12.,1
2014두4931,대법원,2014.6.12.,1
2000두1454,대법원,2001.1.16.,1
2018다207588,대법원,2018.9.28.,1
88다카34094,대법원,1990.1.12.,1
93다43866,대법원,1993.12.21.,1
2017다204087,대법원,2021.10.14.,1
2016두58840,대법원,2017.5.31.,1
2011다78804,대법원,2014.2.13.,1
94다446,대법원,1996.4.23.,1
2013다28926,대법원,2018.6.28.,1
2011다80449,대법원,2013.11.28.,1
2004다4683,대법원,2006.4.27.,1
92다31125,대법원,1993.5.25.,1
94헌바13,헌법재판소,1998.2.27.,1
2015두41401,대법원,2015.9.10.,1
2011두24361,대법원,2013.2.14.,1
2007도4904,대법원,2007.9.6.,1
95다53188,대법원,1996.10.15.,1
97다28421,대법원,1998.4.24.,1
2008도1433,대법원,2008.7.10.,1
2017두62235,대법원,2019.5.30.,1
97다58750,대법원,1998.4.24.,1
92다14434,대법원,1992.7.14.,1
2008도7030,대법원,2009.5.28.,1
2002다35867,대법원,2002.11.8.,1
2016도1060,대법원,2016.10.13.,1
2005헌바20,헌법재판소,2009.5.28.,1
2012다105505,대법원,2013.4.11.,1
2003다7005,대법원,2003.4.25.,1
2014다12843,대법원,2014.6.12.,1
2012두18868,대법원,2015.1.15.,1
2013헌마619,헌법재판소,2015.5.28.,1
2010다13282,대법원,2011.3.10.,1
2005두16499,대법원,2006.2.24.,1
92다11695,대법원,1993.1.26.,1
2006다1930,대법원,2008.6.26.,1
92다18542,대법원,1992.9.25.,1
2012누166,서울고등법원,2012.8.30.,1
70다523,대법원,1970.5.26.,1
2016두63705,대법원,2019.10.17.,1
94누10931,대법원,1995.11.24.,1
2005다30580,대법원,2006.9.22.,1
2002다65905,대법원,2004.5.27.,1
2011두2170,대법원,2015.6.24.,1
99두202,대법원,1999.4.27.,1
99두2680,대법원,2001.7.27.,1
89누8217,대법원,1990.8.10.,1
96누16179,대법원,1997.3.28.,1
2012두10666,대법원,2015.8.27.,1
97누18202,대법원,1998.2.27.,1
2014다62749,대법원,2015.5.28.,1
2014다88161,대법원,2015.6.11.,1
90다8077,대법원,1991.7.9.,1
90다카27389,대법원,1991.2.22.,1
96다10263,대법원,1997.2.25.,1
2015도676,대법원,2019.5.10.,1
2016두57502,대법원,2017.5.11.,1
2011두5391,대법원,2014.11.27.,1
95다32631,대법원,1996.12.23.,1
87다카2901,대법원,1989.4.11.,1
2016두559010,대법원,2019.5.10.,1
96누5926,대법원,1997.2.14.,1
96다29892,대법원,1997.7.25.,1
2009도7722,대법원,2010.5.27.,1
2005두524,대법원,2005.5.27.,1
2012다81609,대법원,2014.12.24.,1
92다2295,대법원,1992.5.22.,1
2014다76434,대법원,2015.7.9.,1
2006다16215,대법원,2009.5.28.,1
2003두3420,대법원,2003.9.23.,1
91다30118,대법원,1992.1.21.,1
2015두56366,대법원,2018.11.9.,1
2012나21609,서울고등법원,2014.1.10.,1
87다카3222,대법원,1988.6.14.,1
2002도2211,대법원,2002.7.12.,1
2014다222794,대법원,2016.7.22.,1
90다14560,대법원,1991.6.28.,1
2014두35799,대법원,2014.6.26.,1
97다9239,대법원,1997.5.23.,1
2011다45217,대법원,2012.5.10.,1
2005두6461,대법원,2007.6.14.,1
2015다228652,대법원,2019.4.25.,1
96누9508,대법원,1997.4.25.,1
91다25109,대법원,1992.2.11.,1
2016다277538,대법원,2019.4.23.,1
2011도12114,대법원,2014.6.26.,1
2015두46550,대법원,2015.11.26.,1
2015두45113,대법원,2016.4.12.,1
2017두38560,대법원,2018.9.13.,1
93다51263,대법원,1995.5.9.,1
2005다25113,대법원,2007.7.12.,1
91누5884,대법원,1992.5.22.,1
97다28971,대법원,1997.11.28.,1
2006다81523,대법원,2007.11.29.,1
2004다43824,대법원,2005.5.27.,1
93누22463,대법원,1994. 6.28.,1
91도2221,대법원,1992.6.9.,1
99두9971,대법원,2001.8.24.,1
99다45376,대법원,2000.9.29.,1
2017다242867,대법원,2017.10.26.,1
2001헌바82,헌법재판소,2002.8.29.,1
2009다49377,대법원,2009.11.12.,1
97다6926,대법원,1997.4.25.,1
91다8647,대법원,1991.12.10.,1
98두6647,대법원,1999.6.22.,1
99두2963,대법원,2000.4.11,1
92다28556,대법원,1994.6.24.,1
94다8631,대법원,1995.2.28.,1
2017두56575,대법원,2018.9.13.,1
2012다31949,대법원,2012.7.12.,1
2008다13623,대법원,2011.1.27.,1
95다53096,대법원,1997.7.22.,1
90다18999,대법원,1991.12.13.,1
93다50017,대법원,1994.9.13.,1
2011다81022,대법원,2013.1.24.,1
2010다36407,대법원,2010.10.14.,1
2014다211053,대법원,2016.8.18.,1
91다2663,대법원,1991.5.14.,1
2005두12572,대법원,2007.9.28.,1
2013다36347,대법원,2014.10.27.,1
2000다51919,대법원,2001.1.19.,1
2008두22136,대법원,2009.12.10.,1
90누4433,대법원,1991.1.29.,1
2001다24655,대법원,2003.10.9.,1
2012다16871,대법원,2014.5.29.,1
2009헌마408,헌법재판소,2011.7.28.,1
97헌바23,헌법재판소,1998.7.16.,1
76다502,대법원,1976.10.26.,1
2010두27363,대법원,2012.6.18.,1
2015다24843,대법원,2018.4.12.,1
