doc_id,source,case_no,case_src,doctype,category,category_src,post_id,title,gate,bundled
output_법원 노동판례/근로기준/2016다40439_포스코 협력회사 직원들의 직접고용 의무 인정 사례.md,crawl,2016다40439,meta,prec,근로기준,folder,,포스코 협력회사 직원들의 직접고용 의무 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2016다7647_CCTV수당의 통상임금 인정 사례.md,crawl,2016다7647,meta,prec,근로기준,folder,,CCTV수당의 통상임금 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2016도14559_실질적인 고용관계가 없는 경우의 재해방지의무 적용 사례.md,crawl,2016도14559,meta,prec,근로기준,folder,,실질적인 고용관계가 없는 경우의 재해방지의무 적용 사례,verbatim,1
output_법원 노동판례/근로기준/2016두56042_집단 괴롭힘 및 따돌림 사유 징계 정당성 인정 사례.md,crawl,2016두56042,meta,prec,근로기준,folder,,집단 괴롭힘 및 따돌림 사유 징계 정당성 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다17955_용역업체 근로자의 근로자파견관계 부정 사례.md,crawl,2017다17955,meta,prec,근로기준,folder,,용역업체 근로자의 근로자파견관계 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다202272_위약금 예정 금지에 관한 법리.md,crawl,2017다202272,meta,prec,근로기준,folder,,위약금 예정 금지에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2017다206670_공공기관 내부평가급의 통상임금성 부정 사례.md,crawl,2017다206670,meta,prec,근로기준,folder,,공공기관 내부평가급의 통상임금성 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다226605_해고서면통지 위반 해고 무효 사례.md,crawl,2017다226605,meta,prec,근로기준,folder,,해고서면통지 위반 해고 무효 사례,verbatim,1
output_법원 노동판례/근로기준/2017다236718_지급일 현재 재직 조건부 정기상여금은 통상임금 해당.md,crawl,2017다236718,meta,prec,근로기준,folder,,지급일 현재 재직 조건부 정기상여금은 통상임금 해당,verbatim,1
output_법원 노동판례/근로기준/2017다238004_포괄임금제 해당 여부 판단 사례.md,crawl,2017다238004,meta,prec,근로기준,folder,,포괄임금제 해당 여부 판단 사례,verbatim,1
output_법원 노동판례/근로기준/2017다239984_연장근로시간의 산정에 관한 월 단위 상계약정의 효력.md,crawl,2017다239984,meta,prec,근로기준,folder,,연장근로시간의 산정에 관한 월 단위 상계약정의 효력,verbatim,1
output_법원 노동판례/근로기준/2017다259513_법정수당 추가청구의 신의칙 위반 부정 사례.md,crawl,2017다259513,meta,prec,근로기준,folder,,법정수당 추가청구의 신의칙 위반 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다273663_통상임금의 개념적 징표로서 일률성 및 고정성의 의미.md,crawl,2017다273663,meta,prec,근로기준,folder,,통상임금의 개념적 징표로서 일률성 및 고정성의 의미,verbatim,1
output_법원 노동판례/근로기준/2017다290613_실질적인 퇴직금 분할 약정의 존재 부정 사례.md,crawl,2017다290613,meta,prec,근로기준,folder,,실질적인 퇴직금 분할 약정의 존재 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다292718_승진이 무효인 경우 지급된 임금의 부당이득 헤당 여부.md,crawl,2017다292718,meta,prec,근로기준,folder,,승진이 무효인 경우 지급된 임금의 부당이득 헤당 여부,verbatim,1
output_법원 노동판례/근로기준/2017다292725_승진이 무효인 경우 지급된 임금의 부당이득 헤당 여부.md,crawl,2017다292725,meta,prec,근로기준,folder,,승진이 무효인 경우 지급된 임금의 부당이득 헤당 여부,verbatim,1
output_법원 노동판례/근로기준/2017다46496_통상임금 해당 업적연봉 포함 추가청구의 신의칙 위반 부정 사례.md,crawl,2017다46496,meta,prec,근로기준,folder,,통상임금 해당 업적연봉 포함 추가청구의 신의칙 위반 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다52712_업적연봉의 통상임금 산입 인정과 신의칙 부정 사례.md,crawl,2017다52712,meta,prec,근로기준,folder,,업적연봉의 통상임금 산입 인정과 신의칙 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다55933_택시운전자 최저임금의 비교대상 임금 판단 사례.md,crawl,2017다55933,meta,prec,근로기준,folder,,택시운전자 최저임금의 비교대상 임금 판단 사례,verbatim,1
output_법원 노동판례/근로기준/2017다7170_쌍용자동차 통상임금 관련 소송에서 신의칙 적용 인정 사례.md,crawl,2017다7170,meta,prec,근로기준,folder,,쌍용자동차 통상임금 관련 소송에서 신의칙 적용 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2017다9732_사내협력업체 근로자의 근로자파견 관계 인정 사례.md,crawl,2017다9732,meta,prec,근로기준,folder,,사내협력업체 근로자의 근로자파견 관계 인정 사례,verbatim,1
